剪	tiễn
剮	quả
副	phó
剰	thừa
割	cát
刮	quát
到	đáo
刱	sáng
刲	khuê
刳	khô
刴	đoá
刵	nhĩ
制	chế
刷	xoát
券	khoán
刼	kiếp
刾	thích
剃	thế
剄	hĩnh
則	tắc
剉	toả
削	tước
剋	khắc
剌	lạt
前	tiền
剎	sát
剔	dịch
剕	phí
剖	phẩu
剗	sản
剚	chí
剛	cương
剴	cai
創	sang
剷	sản
剸	chuyển
剺	li
剽	phiếu
剿	tiễu
劂	quyết
劃	hoạch
劇	kịch
劈	phách
劉	lưu
劊	quái
劌	quế
劍	kiếm
劑	tề
劓	nhị
劘	mi
力	lực
功	công
加	gia
匍	bồ
匏	bào
匐	bặc
匕	truỷ
化	hoá
劣	liệt
劬	cù
劭	thiệu
効	hiệu
劻	khuông
劼	cật
枘	nhuế
枚	mai
果	quả
枝	chi
枬	nam
枯	khô
枰	bình
枱	di
枲	tỉ
枳	chỉ
柏	bách
某	mỗ
柑	cam
柒	thất
染	nhiễm
柔	nhu
柘	chá
柙	hiệp
柚	dữu
柜	cự
柝	thác
柞	tạc
柟	nam
柢	để
查	tra
柨	thị
柩	cữu
柬	giản
柮	đốt
柯	kha
柰	nại
柱	trụ
柳	liễu
柴	sài
柵	sách
柷	chúc
柹	thị
柿	thị
栨	thứ
栩	hủ
株	chu
栱	củng
栲	khảo
栳	lão
栴	chiên
核	hạch
根	căn
格	cách
栽	tài
桀	kiệt
桁	hành
桂	quế
湍	thoan
湎	miện
湓	bồn
湔	tiên
湖	hồ
湘	tương
湛	trạm
湜	thực
湣	mẫn
湧	dũng
湩	chúng
溏	đường
源	nguyên
準	chuẩn
溘	khạp
溝	câu
溟	minh
溢	dật
溥	phổ
溧	lật
溪	khê
溫	ôn
溯	tố
溱	trăn
溲	sửu
溴	xú
溶	dong
溷	hỗn
溺	nịch
溼	thấp
溽	nhục
滁	trừ
滂	bàng
滃	ổng
滄	thương
滅	diệt
滇	điền
滋	tư
滌	địch
滎	huỳnh
滏	phũ
滑	hoạt
滓	chỉ
