脾 tì
膍 tì
舀 yểu
腴 du
膊 bác
朘 朘
脧 tuyên
脯 phủ
脙 脙
胈 胈
脈 mạch
腑 phủ
膩 nị
臕 phiêu
胎 thai
虢 quắc
肺 phế
脖 bột
腩 nạm
膣 膣
腔 khang
皸 quân
肢 chi
鶤 côn
膞 thuần
蠈 蠈
顐 顐
臏 tẫn
脘 quản
鄆 vận
腕 oản
膹 膹
臗 臗
胺 胺
軍 quân
膫 膫
谿 khê
然 nhiên
鶪 鶪
肱 quăng
网 võng
腌 yêm
胯 khố
胰 di
肒 肒
郹 郹
雞 kê
脥 脥
肋 lặc
脅 hiếp
胦 胦
胇 胇
膢 膢
朓 thiểu
脁 thiếu
腓 phì
刖 ngoạt
胂 胂
胏 chỉ
且 thả
肛 giang
囗 vi
臑 nạo
臛 hoắc
胹 nhi
胚 phôi
胵 胵
肝 can
爰 viên
助 trợ
刪 san
刞 刞
具 cụ
冢 trủng
朊 朊
脤 thận
雎 sư
同 đồng
膈 cách
脰 đậu
腷 phức
豚 đồn
塚 trủng
冠 quan
脛 hĩnh
膘 phiêu
靦 điến
腰 yêu
肊 ức
冤 oan
脆 thúy
脕 脕
膽 đảm
孚 phu
膙 膙
脡 đĩnh
腱 kiện
蠫 蠫
脆 thúy
腹 phúc
肭 nạp
朒 nục
胕 胕
脽 脽
膲 膲
臇 臇
胗 chẩn
肣 肣
腍 腍
膾 quái
祭 tế
腧 腧
臉 kiểm
豋 đăng
肐 cách
脞 thỏa
胣 胣
胙 tạc
膴 hô
脢 脢
脂 chi
吻 vẫn
朐 cù
胊 cù
胞 bào
肫 chuân
胸 hung
用 dụng
腠 thấu
膆 tố
周 chu
甩 súy
胑 胑
鵰 điêu
脭 脭
彫 điêu
戙 戙
雕 điêu
臊 tao
齶 齶
翢 翢
爭 tranh
鵩 phục
豸 trĩ
肕 肕
腒 腒
服 phục
腛 腛
膠 giao
脹 trướng
凸 đột
皿 mãnh
冊 sách
腊 tịch
冪 mịch
膜 mô
腆 thiển
朦 mông
膉 膉
膳 thiện
臟 tạng
朕 trẫm
臙 yên
朠 朠
刪 san
頯 quỳ
腜 腜
臒 臒
胼 biền
岡 cương
膿 nùng
賺 trám
膵 tụy
罔 võng
目 mục
睅 hạn
睼 睼
瞷 gián
矙 khám
眼 nhãn
瞑 minh
曖 ái
瞬 thuấn
睬 thải
睭 睭
睜 tĩnh
瞁 瞁
睍 hiển
覞 覞
貝 bối
朡 朡
瞈 瞈
盻 hễ
睇 thê
盼 phán
睞 lãi
睄 睄
矘 矘
瞠 sanh
眯 mị
瞵 瞵
睒 thiểm
眇 miễu
睠 睠
睖 lăng
睦 mục
眭 眭
瞌 khạp
鷂 diêu
瞗 瞗
瞅 thu
眅 眅
矄 矄
眽 mạch
眨 trát
睡 thụy
瞃 瞃
盺 盺
颻 diêu
覹 覹
瞛 瞛
睧 睧
睋 睋
眣 眣
眊 mạo
睙 睙
見 kiến
矏 矏
繇 dao
睥 bễ
瞍 tẩu
睨 nghễ
眸 mâu
狊 狊
眙 dị
矌 矌
眓 眓
瞋 sân
眛 muội
睹 đổ
睫 tiệp
矉 tần
瞚 thuấn
眝 眝
睆 hoản
睕 睕
瞎 hạt
瞭 liệu
睎 hi
眱 di
眈 đam
瞣 瞣
瞜 瞜
瞶 quý
蜰 phì
眺 thiếu
剛 cương
眒 眒
矐 hoắc
盱 hu
睚 nhai
盰 盰
瞰 khám
眄 miện
眃 眃
盯 trành
瞟 phiếu
瞫 瞫
眐 眐
睌 睌
矎 矎
瞻 chiêm
瞲 huyết
眵 si
眳 眳
睽 khuê
瞪 trừng
瞿 cù
睢 tuy
膗 膗
矍 quắc
瞧 tiều
眕 眕
瞺 瞺
睔 睔
睮 睮
